id,customer_id,discount_percent,valid_until,entries_left
1,83811,30,2026-03-19,20
2,14593,40,2028-10-25,30
3,3279,30,2026-08-15,10
4,97197,100,2028-10-29,30
5,36049,80,2027-05-04,10
6,32099,40,2027-04-28,30
7,29257,20,2028-05-27,10
8,18290,30,2027-02-27,5
9,96531,20,2026-06-02,30
10,13435,20,2027-12-26,20
11,88697,80,2028-05-30,10
12,97081,30,2028-02-06,5
13,71483,80,2028-04-27,10
14,11396,20,2027-12-14,30
15,77398,80,2027-07-07,30
16,55303,30,2028-10-14,20
17,4166,80,2026-04-15,10
18,3906,20,2027-03-12,30
19,12281,80,2027-05-14,30
20,28658,20,2026-09-19,30
21,30496,100,2028-07-20,5
22,66238,80,2027-11-15,20
23,78908,20,2027-11-15,10
24,3479,20,2028-12-24,30
25,73564,40,2027-10-30,10
26,26063,30,2028-11-04,30
27,93851,80,2026-09-10,30
28,85182,30,2028-08-04,20
29,91925,80,2026-04-29,5
30,71427,30,2027-08-26,5
31,54988,20,2028-02-05,10
32,28894,100,2028-07-12,5
33,58879,30,2028-02-03,5
34,77237,80,2026-06-26,20
35,36464,100,2028-06-30,20
36,852,40,2026-01-31,5
37,99459,100,2028-09-03,5
38,20927,80,2027-07-02,20
39,91507,20,2028-08-26,5
40,55393,30,2027-10-19,10
41,44598,40,2028-05-06,5
42,36422,20,2027-10-28,20
43,20380,40,2027-01-09,20
44,28222,20,2026-10-09,30
45,44119,100,2027-01-13,5
46,13397,20,2028-01-12,5
47,12157,20,2027-04-15,5
48,49798,100,2027-04-13,20
49,12677,30,2026-08-16,5
50,47053,80,2027-10-25,5
51,45083,40,2026-09-18,10
52,79132,30,2027-06-23,20
53,34672,20,2028-05-15,5
54,5696,80,2026-06-03,10
55,95648,80,2028-02-25,30
56,60218,80,2026-01-25,5
57,70285,80,2026-01-21,30
58,16362,20,2027-12-05,5
59,49616,80,2027-08-17,5
60,10329,40,2026-07-15,5
61,72358,100,2027-04-15,10
62,38428,100,2027-07-19,5
63,82398,20,2027-08-25,20
64,81071,20,2028-07-19,5
65,47401,40,2027-02-18,10
66,75675,40,2027-04-07,5
67,25204,80,2027-01-25,10
68,92350,40,2028-06-06,5
69,9117,40,2028-01-04,10
70,6007,30,2027-08-18,5
71,86674,20,2027-05-24,20
72,29872,20,2027-08-25,5
73,37931,30,2028-04-29,10
74,10459,80,2028-01-28,10
75,30513,40,2026-12-24,30
76,13239,30,2027-02-24,30
77,49824,100,2027-10-26,30
78,36435,20,2028-04-18,20
79,59430,40,2028-04-10,20
80,83321,80,2026-04-16,10
81,47820,20,2028-02-07,30
82,21320,100,2028-05-28,20
83,48521,100,2026-08-01,10
84,46567,30,2027-06-02,20
85,27461,100,2027-06-07,10
86,87842,20,2028-08-06,20
87,34994,40,2028-07-19,20
88,91989,40,2026-05-07,10
89,89594,30,2026-04-30,30
90,84940,80,2026-08-23,20
91,9359,80,2027-11-07,5
92,79841,30,2028-05-14,5
93,83228,20,2026-06-06,10
94,22432,80,2028-04-16,5
95,70011,20,2028-11-11,5
96,95569,100,2026-07-19,10
97,32088,80,2028-12-17,5
