id,swimming_school_id,max_depth,min_depth,is_for_disabled,max_capacity,length,is_olympic,num_of_lanes
1,1,170,150,1,90,25,0,15
2,1,210,100,1,90,40,0,15
3,1,220,140,0,48,25,1,8
4,1,160,100,0,24,25,1,4
5,1,220,100,1,90,50,0,15
6,1,230,150,1,24,25,0,4
7,1,170,150,1,90,40,1,15
8,1,210,100,1,72,50,1,12
9,1,220,150,1,60,25,1,10
10,1,250,150,1,36,50,0,6
11,2,200,100,1,72,25,1,12
12,2,230,120,1,24,40,1,4
13,2,170,120,1,48,50,1,8
14,2,210,120,0,90,40,1,15
15,2,160,120,1,60,25,0,10
16,2,170,140,1,90,50,0,15
17,2,170,120,1,48,50,1,8
18,2,190,140,1,90,25,1,15
19,2,220,140,0,36,40,0,6
20,2,160,120,1,36,50,1,6
21,3,170,100,1,24,25,0,4
22,3,190,150,1,60,25,1,10
23,3,170,150,0,90,25,1,15
24,3,200,100,0,36,50,0,6
25,3,170,150,1,90,40,0,15
26,3,240,100,1,72,50,1,12
27,3,200,140,1,36,40,0,6
28,3,240,150,1,60,25,1,10
29,3,160,100,1,48,40,1,8
30,3,170,120,0,48,40,1,8
31,4,220,150,0,48,25,0,8
32,4,160,140,1,72,50,1,12
33,4,200,150,1,48,50,0,8
34,4,220,150,1,72,25,0,12
35,4,250,150,1,24,25,0,4
36,4,240,150,1,90,50,0,15
37,4,250,100,1,36,25,0,6
38,4,200,100,1,48,50,1,8
39,4,180,100,1,48,40,1,8
40,4,250,150,1,48,25,0,8
41,5,180,140,1,72,50,0,12
42,5,210,150,0,90,25,0,15
43,5,190,140,0,72,25,0,12
44,5,180,140,1,72,50,1,12
45,5,160,150,0,36,25,1,6
46,5,200,140,0,60,50,1,10
47,5,190,100,1,48,25,0,8
48,5,210,120,1,60,50,1,10
49,5,210,150,0,48,25,0,8
50,5,160,100,1,24,50,0,4
51,6,210,100,0,48,50,1,8
52,6,190,140,1,36,40,1,6
53,6,160,100,1,60,25,1,10
54,6,250,150,0,48,50,1,8
55,6,160,100,1,48,25,1,8
56,6,180,150,1,48,50,0,8
57,6,200,150,1,72,25,0,12
58,6,190,100,1,60,25,0,10
59,6,190,100,1,90,40,0,15
60,6,190,150,1,72,25,1,12
61,7,160,150,1,90,50,1,15
62,7,230,120,1,24,25,0,4
63,7,250,100,0,90,25,1,15
64,7,210,150,1,90,50,1,15
65,7,220,140,0,72,40,0,12
66,7,180,100,0,36,25,1,6
67,7,190,150,1,36,40,0,6
68,7,170,100,1,36,40,0,6
69,7,160,140,0,72,40,1,12
70,7,170,120,1,90,25,0,15
71,8,230,150,1,24,25,1,4
72,8,210,100,0,60,25,0,10
73,8,210,120,1,60,50,0,10
74,8,180,120,1,24,40,0,4
75,8,170,150,1,90,25,1,15
76,8,220,150,1,60,40,1,10
77,8,190,150,0,48,50,1,8
78,8,160,140,1,60,25,0,10
79,8,170,140,1,60,25,0,10
80,8,180,120,1,72,40,1,12
81,9,190,140,1,60,25,0,10
82,9,250,140,1,60,50,0,10
83,9,170,100,1,36,25,1,6
84,9,210,140,0,90,40,1,15
85,9,160,150,1,60,40,1,10
86,9,160,120,1,90,25,1,15
87,9,180,100,1,24,50,1,4
88,9,200,140,0,36,40,1,6
89,9,250,100,1,72,40,1,12
90,9,210,140,1,60,25,1,10
91,10,240,100,1,24,50,1,4
92,10,170,100,1,36,40,0,6
93,10,230,150,1,36,25,0,6
94,10,170,140,1,60,25,0,10
95,10,230,100,1,24,40,0,4
96,10,170,100,1,48,40,1,8
97,10,160,140,1,60,50,1,10
98,10,160,150,1,90,40,1,15
99,10,250,100,1,48,25,1,8
100,10,250,150,1,90,40,1,15
101,11,230,140,1,60,40,1,10
102,11,230,150,0,72,40,1,12
103,11,210,100,0,48,50,1,8
104,11,200,140,0,24,40,1,4
105,11,180,140,1,90,50,0,15
106,11,240,150,1,24,50,0,4
107,11,170,140,1,36,40,0,6
108,11,180,140,1,24,25,1,4
109,11,180,140,1,24,40,1,4
110,11,190,150,0,60,50,0,10
111,12,190,120,1,48,25,0,8
112,12,160,100,1,60,40,1,10
113,12,180,140,1,48,40,0,8
114,12,160,150,1,36,50,1,6
