course_id,swimming_school_id,instructor_id,description,class_type
1,30,3146,"Group swimming class for Advanced swimming course focused on long-term performance optimization, including stroke refinement and endurance development.",GR
2,28,485,"Group swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",GR
2,28,485,"Private swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",PR
2,28,485,"Individual swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",IN
2,28,485,"Individual swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",IN
2,28,485,"Individual swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",IN
2,28,485,"Group swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",GR
2,28,485,"Group swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",GR
2,28,485,"Semi-private swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",SP
2,28,485,"Group swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",GR
2,28,485,"Group swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",GR
2,28,485,"Group swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",GR
2,28,485,"Individual swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",IN
2,28,485,"Individual swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",IN
2,28,485,"Group swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",GR
2,28,485,"Individual swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",IN
2,28,485,"Semi-private swimming class for Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",SP
3,41,142,"Individual swimming class for Beginner course introducing essential water safety, floating, and basic swimming movements.",IN
3,41,142,"Semi-private swimming class for Beginner course introducing essential water safety, floating, and basic swimming movements.",SP
3,41,142,"Private swimming class for Beginner course introducing essential water safety, floating, and basic swimming movements.",PR
3,41,142,"Group swimming class for Beginner course introducing essential water safety, floating, and basic swimming movements.",GR
